track_name,track_id,artist,date_added,release_date,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Creo Lo Sientes (feat. C-BASS),0kozU66UWODvhLC8dkeS6g,Sammy Rae & The Friends,2023-01-26T16:14:08Z,2021-01-22,41,210557,0.663,0.783,5,-6.561,0,0.127,0.118,0,0.0614,0.932,158.017,4
Panic Attack,4dPhPU5YISxhLk1DfODmkR,khai dreams,2023-02-02T19:17:35Z,2023-01-27,28,168453,0.461,0.633,9,-5.526,1,0.0347,0.491,0,0.454,0.396,200.024,4
Conditions Of A Punk,2viUGuVwPAWIZXlOJHLHoO,half•alive,2023-02-05T17:04:54Z,2022-12-02,38,216880,0.68,0.497,6,-8.17,1,0.0483,0.185,0,0.383,0.286,75.0,4
Everything Machine,7onIrOuYJmNY8Lei1avcUd,half•alive,2023-02-06T16:16:48Z,2022-02-11,42,197920,0.772,0.783,0,-3.043,1,0.038,0.0685,6.55e-05,0.0761,0.826,114.989,4
Denim Jacket,0YMeOermYNkQRit6AvxZhX,Sammy Rae & The Friends,2023-02-06T16:39:15Z,2019-07-13,45,247518,0.75,0.653,5,-10.013,0,0.207,0.226,0,0.105,0.798,118.004,4
Space Song,7H0ya83CMmgFcOhw0UB6ow,Beach House,2023-02-07T20:32:48Z,2015-08-28,77,320466,0.508,0.792,0,-7.311,0,0.0297,0.229,0.124,0.145,0.601,147.067,4
In Love,3o34vwPObwGiulciUDWfAE,khai dreams,2023-02-10T21:49:01Z,2018-02-12,46,69389,0.511,0.235,5,-13.345,1,0.127,0.918,0,0.105,0.584,117.769,4
Bugs,58MqyvxdbaMUGy0lZxJc9L,khai dreams,2023-02-13T22:47:33Z,2023-01-27,33,162575,0.628,0.808,2,-6.051,1,0.0409,0.667,0.0134,0.107,0.188,161.053,4
Reckless Love,1K8ZuQfhINJkswTTzTG036,Bleachers,2023-02-14T19:43:46Z,2014-07-14,40,181320,0.631,0.705,6,-8.612,0,0.0775,0.0779,0.0846,0.111,0.437,160.036,4
Backyard Boy,04F42oEuKrRComYJfJuyVR,Claire Rosinkranz,2023-03-09T17:41:06Z,2020-10-02,65,129240,0.817,0.635,5,-7.246,1,0.163,0.323,0,0.0738,0.454,138.015,4
Green Grass,7kIDMuaQ1JNJuEWjKLMLhM,Ellie Dixon,2023-03-11T15:59:21Z,2021-05-21,34,185374,0.737,0.464,8,-6.163,1,0.142,0.553,0,0.08,0.738,74.958,4
Monday's Fácil,00W5tnmuEvWvIJiiWJzHr6,Summer Salt,2021-05-01T15:21:19Z,2021-04-30,21,247933,0.568,0.772,7,-6.949,1,0.0381,0.00602,0.000151,0.0735,0.671,176.013,4
I Need Some of That,1fDFIckfX373VPKvpIzFAl,Weezer,2021-05-08T19:21:00Z,2021-05-07,33,199666,0.631,0.763,1,-5.582,1,0.0782,0.00227,7.75e-05,0.65,0.666,119.886,4
Stop Making This Hurt,32srSGuuy12hEhrD2iCIIK,Bleachers,2021-05-18T19:05:34Z,2021-05-18,40,199626,0.669,0.885,0,-4.735,1,0.0438,0.0393,0,0.264,0.825,109.24,4
Social Climb,3xUsaaH6oCG1w8kD1oGhGW,I DONT KNOW HOW BUT THEY FOUND ME,2021-05-23T03:23:23Z,2018-11-09,53,176853,0.532,0.832,11,-5.958,0,0.122,0.0986,9.22e-05,0.657,0.771,176.155,4
Mx. Sinister,1hYXuCb1EMgwfl3QHUeTfM,I DONT KNOW HOW BUT THEY FOUND ME,2021-06-11T14:41:33Z,2021-06-11,52,179956,0.512,0.808,2,-4.069,0,0.0419,0.00756,0,0.346,0.315,133.988,4
Clusterhug,65yrKuYdBYsMA1ItIngmjc,I DONT KNOW HOW BUT THEY FOUND ME,2021-06-11T14:42:23Z,2020-10-23,47,192066,0.476,0.837,0,-4.067,1,0.052,0.00324,0,0.105,0.23,121.901,4
With A Little Help From My Friends - Remastered 2009,2RnPATK99oGOZygnD2GTO6,The Beatles,2021-06-13T15:30:46Z,1967-06-01,64,164106,0.705,0.515,4,-9.343,1,0.0337,0.365,0,0.389,0.803,112.035,4
Sleep Through The Static,6YXPye0mFJBNov8pmihMAP,Jack Johnson,2021-06-14T22:23:31Z,2008,50,223400,0.75,0.346,0,-11.227,1,0.0924,0.346,1.19e-05,0.0884,0.305,68.451,4
No Other Way,1jnnieDkF1hOlRil2Sgv9i,Jack Johnson,2021-06-24T03:28:14Z,2005-01-01,50,189586,0.854,0.258,5,-12.851,1,0.0628,0.491,0.01,0.118,0.424,116.19,4
Talk to You,5YIAMIFBXGXsyJwJmqUMZo,Ricky Montgomery,2021-06-26T20:28:25Z,2021-06-25,0,214724,0.514,0.671,2,-7.048,1,0.0287,0.048,0.000218,0.194,0.356,179.934,4
How Dare You Want More,3ofm3iqaRbHBCGvqf5jK7H,Bleachers,2021-07-04T04:15:31Z,2021-06-09,34,240200,0.527,0.746,2,-7.717,1,0.0536,0.0379,5.8e-05,0.0628,0.445,166.919,4
Hocus Pocus,3gPnCZrBF21iSF8DBxzlfA,Summer Salt,2021-07-05T22:09:29Z,2021-06-25,18,237386,0.737,0.504,6,-8.787,1,0.0245,0.102,0.0125,0.106,0.485,92.975,4
Good Day,3uwYgNxFDfx1GoLB6tLoUn,Twenty One Pilots,2021-07-06T01:23:30Z,2021-05-21,56,204400,0.684,0.677,7,-7.355,1,0.0401,0.11,0.00975,0.34,0.37,142.048,4
Mulberry Street,19kX6hSlYH31js2SL4jgrj,Twenty One Pilots,2021-07-08T15:55:41Z,2021-05-21,61,224398,0.674,0.535,2,-7.114,1,0.0518,0.0138,0,0.326,0.716,170.188,4
Redecorate,2XPmTamsj7d9i3gzLCL4JI,Twenty One Pilots,2021-07-08T16:09:17Z,2021-05-21,60,245842,0.632,0.65,8,-6.851,0,0.0797,0.158,2.39e-05,0.0724,0.397,82.58,4
Never Know,3dKFxCpVtK3g9KAB8S1FwY,Jack Johnson,2021-07-08T16:15:31Z,2005-01-01,55,212813,0.928,0.385,1,-7.44,0,0.0546,0.29,1.24e-05,0.12,0.761,102.007,4
Flake,7hOXiS6kDP4vYIh9DBsNgK,Jack Johnson,2021-07-29T18:00:08Z,2001,1,281749,0.758,0.654,5,-10.98,1,0.04,0.662,0.0197,0.199,0.962,97.657,4
Bubble Toes,4QCwJfuL70aUSXzlEP4FRT,Jack Johnson,2021-07-29T18:08:02Z,2001,0,238603,0.606,0.517,7,-11.507,1,0.116,0.666,0.0209,0.377,0.685,93.88,4
Chinatown (feat. Bruce Springsteen),1AA3ZjLo9tD2iSZAs2svyj,Bleachers,2021-08-04T15:20:10Z,2021-07-30,50,244186,0.436,0.714,4,-5.229,1,0.0257,0.00474,0,0.162,0.212,88.955,4
Secret Life (feat. Lana Del Rey),0dagxop90zpA32LDwjAGVk,Bleachers,2021-08-09T03:22:03Z,2021-07-30,43,186613,0.568,0.292,2,-14.316,1,0.0269,0.829,4.35e-06,0.341,0.501,75.065,4
